cik,cusip6,cusip8
1377789.0,05366Y,05366Y10
39047.0,358748,35874810
805267.0,87911J,87911J10
225263.0,651824,65182410
49071.0,444859,44485910
868857.0,112017,11201762
815097.0,156519,15651916
1019361.0,775043,77504310
741516.0,519677,519677
1060523.0,14964U,14964U10
102037.0,913456,91345610
1561894.0,41068x,41068x10
1169652.0,159179,15917910
1450011.0,72201R,72201R83
1132651.0,031001,03100110
1338561.0,6706EW,6706EW10
874499.0,402635,40263530
1337013.0,45685K,45685K10
1037676.0,189075,18907540
826154.0,687380,68738010
1173557.0,50208C,50208C10
1487952.0,92835K,92835K10
855658.0,518415,51841510
1393883.0,253017,25301710
1428336.0,42226A,42226A10
1522727.0,90290N,90290N10
1333170.0,67072V,67072V10
1572236.0,58436r,58436r20
1133421.0,181582,18158299
1571498.0,29428V,29428V10
1110803.0,452327,45232710
1517396.0,M85548,M8554810
1488419.0,829355,82935520
891014.0,603158,60315810
1383701.0,20600T,20600T10
1046327.0,75605L,75605L70
1319229.0,89376V,89376V10
1024795.0,866942,86694210
23194.0,205768,20576820
1533455.0,009617,00961710
1003078.0,553530,55353010
68505.0,180514,18051444
859163.0,002444,00244410
795266.0,48666K,48666K10
1297996.0,109333,10933302
907573.0,246101,24610110
1378453.0,894174,89417410
731657.0,848565,84856510
1568832.0,74937W,74937W10
1444662.0,36191C,36191C20
932699.0,395379,39537930
1164727.0,331185,33118556
46250.0,947771,947771
1577916.0,74051N,74051N10
1597095.0,89977P,89977P10
764579.0,124769,12476920
1143068.0,113804,11380415
918608.0,124169,12416939
854775.0,253798,25379810
1357277.0,516683,51668310
915389.0,101317,10131799
907654.0,00211Y,00211Y10
837465.0,131193,13119310
1596967.0,60786M,60786M10
16918.0,21036P,21036P10
703351.0,109641,10964110
915912.0,122087,12208786
1096325.0,103690,10369005
843212.0,025636,02563620
1550695.0,71377E,71377E10
1325670.0,843395,84339510
931148.0,384313,38431310
278041.0,460321,46032120
1505155.0,91544A,91544A10
1569134.0,874697,87469710
910073.0,381073,38107393
1490660.0,57063L,57063L10
1453593.0,05644R,05644R20
841071.0,257287,25728710
1012019.0,781846,78184620
1517936.0,33738D,33738D10
1336050.0,09255K,09255K10
74208.0,902653,90265310
202947.0,140430,14043010
98222.0,886423,88642310
889609.0,210502,21050210
1303390.0,85207D,85207D10
1549872.0,20585P,20585P10
1070412.0,190471,19047146
1038190.0,09253P,09253P10
885732.0,67063R,67063R10
894315.0,23317H,23317H10
95953.0,871565,87156510
1180262.0,G4412G,G4412G10
1074685.0,27826W,27826W10
836429.0,87160G,87160G10
72741.0,259764,25976435
1337885.0,246911,24691110
1067983.0,874170,87417036
1472343.0,775431,77543110
1116132.0,238326,23832647
1308927.0,27828X,27828X10
1513818.0,92529L,92529L10
1608269.0,82936K,82936K10
1142417.0,65336K,65336K10
716314.0,384556,38455610
1373060.0,602675,60267510
1294924.0,46123D,46123D20
1045609.0,446933,44693378
814549.0,278715,27871520
1393612.0,389226,38922610
873044.0,750459,75045910
59478.0,532457,53245710
916793.0,M84116,M8411610
1104358.0,883150,883150
722392.0,726900,72690010
1090727.0,462163,46216381
1327811.0,98138H,98138H10
1075415.0,181988,18198833
88948.0,750683,750683
886744.0,112018,11201887
1499832.0,892231,89223110
1031516.0,59047R,59047R10
1490054.0,03783a,03783a10
1001115.0,37364X,37364X10
1129633.0,343736,343736
720500.0,032332,03233250
1355444.0,29082A,29082A10
1137887.0,67070X,67070X10
1122904.0,64111Q,64111Q10
4904.0,366303,36630319
1176197.0,09249R,09249R10
18748.0,155123,15512310
1067837.0,293639,29363910
887226.0,71361F,71361F10
1547459.0,63888U,63888U10
22444.0,119125,11912582
913353.0,33761N,33761N10
1525287.0,849343,84934310
313716.0,412324,41232430
912183.0,229678,22967810
1375576.0,53680P,53680P10
1514743.0,44951J,44951J10
1601347.0,72143J,72143J10
914208.0,G491BT,G491BT10
1339605.0,404030,40403010
1004315.0,233517,23351777
1448431.0,68401U,68401U10
882151.0,09254W,09254W10
1177162.0,27827Y,27827Y10
858655.0,420877,42087720
1264089.0,612132,61213251
201461.0,178566,17856610
77877.0,69327R,69327R10
1287498.0,27828V,27828V10
15615.0,576323,57632310
830160.0,25155R,25155R10
813672.0,127387,12738710
867840.0,740294,74029430
1528811.0,92829B,92829B10
1145460.0,01449J,01449J10
109177.0,41146A,41146A10
921082.0,107111,10711128
1030749.0,402629,40262920
825411.0,81783K,81783K10
1050446.0,801376,801376
1050007.0,650624,650624
1064642.0,78464A,78464A68
773910.0,432868,43286886
1333849.0,47009M,47009M40
1368993.0,93041P,93041P30
1399249.0,74731Q,74731Q10
1125920.0,82568P,82568P30
812128.0,800013,80001310
1104485.0,665531,66553110
1098972.0,00847G,00847G70
930667.0,464286,46428656
1318482.0,201412,20141231
1524358.0,57164Y,57164Y10
1037760.0,15670R,15670R10
20740.0,179895,17989510
1006837.0,404139,40413910
1564708.0,247235,24723545
1466301.0,189464,18946410
1313510.0,36465a,36465a30
1576940.0,156504,15650430
1376321.0,16949H,16949H10
1535929.0,45685E,45685E10
1057861.0,26200S,26200S10
1209466.0,739371,73937110
1594109.0,400110,40011010
1385145.0,M2196U,M2196U10
1472215.0,670735,67073510
1590955.0,70432V,70432V10
1053706.0,12618T,12618T10
1611110.0,58503T,58503T10
1329377.0,33736Q,33736Q10
60519.0,546347,54634710
811156.0,125896,12589610
1274057.0,145436,14543640
1447028.0,87911B,87911B20
1538375.0,G57279,G5727910
1340282.0,777779,77777930
866095.0,00306J,00306J10
1083220.0,98400M,98400M10
1049606.0,20563P,20563P10
875357.0,05561Q,05561Q20
100885.0,498484,49848425
1525221.0,26885G,26885G10
96885.0,879165,87916520
1528129.0,516806,51680610
110621.0,100514,10051488
915862.0,698657,69865710
1092914.0,049392,04939210
929887.0,037604,03760410
1562834.0,112792,11279210
875809.0,143474,14347423
1611988.0,31679P,31679P10
929351.0,535919,53591920
1307579.0,53632A,53632A10
1070523.0,204046,20404610
1528356.0,372284,37228430
1383571.0,37954N,37954N20
1415305.0,320697,32069710
923796.0,36159R,36159R10
1438533.0,761299,76129910
1042173.0,808760,80876010
48039.0,200483,20048364
1094814.0,146534,14653410
77159.0,707882,70788210
1123452.0,40051E,40051E20
891532.0,714157,71415720
320174.0,055662,05566210
1082754.0,87817A,87817A10
58492.0,122645,12264525
1353613.0,23130A,23130A10
1468516.0,00184X,00184X10
720858.0,461804,46180410
1170534.0,60671Q,60671Q10
1067428.0,S04255,S0425519
1507385.0,597805,59780593
1368519.0,656844,65684410
1363829.0,123114,123114
1042893.0,262037,26203710
81362.0,747316,74731610
919956.0,255104,25510410
1393818.0,09253U,09253U10
1367064.0,30225N,30225N10
795266.0,100436,10043615
1159039.0,09248K,09248K10
1009759.0,216168,21616801
354190.0,126986,12698653
1583744.0,03879N,03879N10
883265.0,46131T,46131T10
700733.0,106986,10698653
1053988.0,09254X,09254X10
866609.0,120113,12011354
1270131.0,50208A,50208A10
912603.0,806882,80688210
1094366.0,M81873,M8187310
1021561.0,67018T,67018T10
1396446.0,138133,13813308
1565381.0,26203D,26203D10
1040719.0,93317W,93317W10
835324.0,785060,78506010
1520048.0,29269K,29269K10
926282.0,00738A,00738A10
1552275.0,86765K,86765K10
1065865.0,137406,13740611
1314966.0,09250W,09250W10
1481028.0,44915H,44915H10
1411179.0,75657W,75657W10
1171012.0,904572,90457220
1100412.0,114095,11409558
8858.0,116203,11620307
1331520.0,436893,43689320
1469372.0,55826P,55826P10
106040.0,165160,16516089
798949.0,909218,90921810
1376972.0,43713W,43713W10
1514991.0,00164V,00164V10
1562463.0,320557,32055710
1168220.0,90403T,90403T10
799850.0,03062T,03062T10
827052.0,224540,22454061
